customer_id,customer_unique_id,customer_name,customer_city,customer_state,customer_zip,signup_date
CUST000000,bdd640fb-0667-4ad1-9c80-317fa3b1799d,Daniel Doyle,NEW ROBERTTOWN,PR,12781,2023-07-10 05:06:54
CUST000001,9a1de644-815e-46d1-bb8f-aa1837f8a88b,Cristian Santos,Robinsonshire,PA,36964,2023-03-09 12:39:26
CUST000002,c241330b-01a9-471f-9e8a-774bcf36d58b,MELISSA PETERSON,EAST SUSAN,BA,44619,2024-01-28 12:30:19
CUST000003,18c26797-6142-4a7d-97be-31111a2a73ed,Gregory Baker,Lake Stephenville,DF,50116,2024-02-28 06:26:43
CUST000004,d453dd32-4b0d-4b41-8d52-88f1142c3fe8,Stacey Ward,lake chad,SP,87174,2024-08-12 09:11:40
CUST000005,fc377a4c-4a15-444d-85e7-ce8a3a578a8e,David Garcia,  Shawnstad  ,MG,21820,2023-06-17 05:44:21
CUST000006,ab9099a4-35a2-40ae-9af3-05535ec42e08,  Timothy Wong  ,NEW JESSICA,RJ,21918,2023-10-06 19:51:38
CUST000007,fd5166e6-451b-4cf3-a123-fdf77656af72,Melissa Robinson,Meganton,DF,30522,2023-12-23 20:18:01
CUST000008,50c187fc-ce17-4b4e-8837-b8a3d261a7ab,Austin Gentry,  Jasonfort  ,PA,52357,2023-08-16 17:14:21
CUST000009,757750a9-a491-40b2-aa1f-ca65e27a984d,Charles Mcgee,Juliechester,SC,76985,2023-05-30 08:31:08
CUST000010,ff50bde4-3825-47b8-9cab-cc97663f1c97,MS. ANN WILLIAMS MD,port erin,PR,78673,2023-03-03 23:25:48
CUST000011,988c24c9-61b1-4d22-a280-1c4510435a10,Kendra Maddox DVM,Lake Jenniferside,CE,98920,2024-05-08 18:01:00
CUST000012,5715bd6f-a416-4293-84c2-e2e3444ea7c8,jeffrey chavez,  Teresaburgh  ,GO,67043,2023-07-27 08:49:38
CUST000013,a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,Mark Lynch,WEST KATHRYN,GO,71198,2023-05-13 22:15:20
CUST000014,87c5421e-ec24-43c5-8754-108ff4188f3f,linda burns,West Natashaport,PR,31886,2024-12-19 18:32:30
CUST000015,913e4de2-e0c5-4cb8-bda9-c2a90ed42f1a,Angelica Tucker,Port Amandaberg,SP,17329,2023-06-27 21:45:55
CUST000016,8cbfedb0-f264-4ccc-b9ac-1b1ea8e56e0c,Joseph Obrien,New Karina,RJ,90923,2023-06-13 21:00:18
CUST000017,66245bfa-4fcc-439a-b683-d2e6337ea2df,Marie Kim DDS,East Jeffreymouth,BA,03258,2024-05-24 02:15:44
CUST000018,96a402f2-3ae8-4c93-8dcd-cd03969b6662,Benjamin Welch,North Rebecca,MG,43810,2023-07-25 17:43:27
CUST000019,474a493b-3ced-4f2d-839f-bc501223b513,Cindy Anderson,Sanchezfort,DF,53855,2024-03-30 01:28:21
CUST000020,a8b317fa-18d0-452b-9825-bc5430beb45f,Jeff Owens,  Lake Deniseville  ,MG,08445,2024-01-31 18:15:30
CUST000021,ccf3a171-56dc-4907-ba6c-34ab6712303a,Danielle Lee,Taylorburgh,MG,37010,2024-05-02 08:26:31
CUST000022,ec5b227c-dfde-4fbf-bff3-50bf766ecb15,Robert Chase,North Deniseside,PE,02435,2023-10-24 09:53:56
CUST000023,c0e9ab30-ed26-42e9-97e0-11b7f8102383,Carol Tucker,port richard,PA,08186,2024-10-30 14:05:47
CUST000024,fc3d3348-008d-4127-a104-61e32a25a888,Timothy Glover,RODNEYSIDE,PA,87253,2024-08-06 05:22:36
CUST000025,309d258c-27a0-43d7-bc96-7f79b7e99aca,Wayne Riley,LAKE LEETON,PE,77070,2023-05-03 20:16:27
CUST000026,da4bd9ca-eb5c-4467-80ba-cd647a0ecfea,Amy Romero,North Brooke,PR,89002,2024-01-24 19:36:05
CUST000027,1eb0e38a-675d-45af-bc36-5296dca02eec,Laura Riley,NEW CHRISTOPHERSHIRE,GO,74586,2023-08-20 19:24:50
CUST000028,42c18a62-ef48-48d5-90fd-9d3f85d51695,Mike Allen,andersonport,RS,60430,2024-08-15 06:13:53
